Entry,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5,SEP,SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y,Label
A0A7G8ZXI2,6.21,3.14,4.79,3.77,6.05,6.52,1.26,5.97,4.79,8.48,1.1,6.91,4.56,4.87,3.3,7.78,7.62,7.62,0.94,4.32,0.093,0.086,0.821,0.277,0.474,0.394,0.046,0.113,0.086,0.093,0.821,0.517,0.208,0.353,0.154,0.042,0.338,0.357,0.306,0.449,0.297,0.266,0.236,0.551,0.449,-0.027,-0.515,-0.129,-0.523,0.002,4.157,-0.249,-0.157,-0.21,-0.178,-0.245,-0.257,-0.079,-0.243,-0.21,-0.302,-0.072,-0.266,-0.203,-0.212,-0.162,-0.287,-0.283,-0.283,-0.063,-0.196,POSITIVE
A0A8F0ZVJ8,8.78,0,5.37,3.17,3.17,10.24,0.73,3.66,7.07,6.1,1.22,5.37,7.56,8.78,7.07,7.8,7.56,2.44,1.22,2.68,0.149,0.085,0.766,0.268,0.444,0.388,0.076,0.071,0.085,0.149,0.766,0.417,0.278,0.429,0.154,0.012,0.429,0.207,0.363,0.356,0.373,0.276,0.268,0.551,0.449,0.651,-0.439,-0.291,-0.407,0.233,4.011,-0.308,0,-0.226,-0.158,-0.158,-0.337,-0.052,-0.175,-0.27,-0.246,-0.078,-0.226,-0.282,-0.308,-0.27,-0.287,-0.282,-0.131,-0.078,-0.14,POSITIVE
A0A8F0ZU72,7.2,3.29,5.51,4.98,4.75,5.97,2.23,4.91,5.88,9.5,2.52,5.16,3.86,3.31,3.72,6.43,6.96,8.14,1.09,4.59,0.118,0.105,0.777,0.246,0.479,0.396,0.039,0.104,0.105,0.118,0.777,0.522,0.209,0.332,0.134,0.058,0.393,0.337,0.269,0.448,0.287,0.266,0.229,0.525,0.475,-0.025,-0.503,-0.172,-0.424,0.01,4.199,-0.273,-0.162,-0.231,-0.215,-0.209,-0.243,-0.123,-0.213,-0.24,-0.323,-0.134,-0.221,-0.181,-0.163,-0.177,-0.255,-0.268,-0.295,-0.071,-0.204,POSITIVE
A0A7D4LW37,7.01,3.13,4.79,5.43,4.74,5.99,1.7,4.93,6.27,9.85,2.38,5.29,3.72,3.43,2.97,6.67,7.79,8.42,1.04,4.43,0.109,0.102,0.788,0.254,0.481,0.399,0.037,0.102,0.102,0.109,0.788,0.53,0.2,0.341,0.145,0.055,0.39,0.345,0.265,0.451,0.289,0.267,0.228,0.528,0.472,-0.065,-0.564,-0.2,-0.479,0.009,4.172,-0.269,-0.157,-0.21,-0.228,-0.209,-0.243,-0.1,-0.214,-0.25,-0.329,-0.128,-0.224,-0.177,-0.167,-0.151,-0.261,-0.287,-0.301,-0.069,-0.199,POSITIVE
P0DTD3,12.33,6.85,1.37,6.85,1.37,2.74,4.11,1.37,5.48,20.55,4.11,1.37,2.74,9.59,0,2.74,4.11,9.59,1.37,1.37,0.096,0.082,0.822,0.247,0.562,0.493,0.027,0.041,0.082,0.096,0.822,0.644,0.137,0.274,0.068,0.11,0.63,0.26,0.11,0.562,0.274,0.192,0.247,0.438,0.562,-0.552,-0.833,-0.286,-0.357,0.164,3.753,-0.372,-0.265,-0.085,-0.265,-0.085,-0.142,-0.189,-0.085,-0.23,-0.469,-0.189,-0.085,-0.142,-0.324,0,-0.142,-0.189,-0.324,-0.085,-0.085,POSITIVE
A0A860YTF8,9.89,1.1,3.3,1.1,3.3,5.49,2.2,6.59,7.69,5.49,4.4,5.49,1.1,4.4,5.49,7.69,10.99,6.59,1.1,6.59,0.154,0.044,0.802,0.308,0.44,0.352,0.011,0.11,0.044,0.154,0.802,0.505,0.22,0.33,0.187,0.055,0.407,0.363,0.231,0.396,0.231,0.33,0.242,0.516,0.484,0.085,-0.498,-0.422,-0.251,-0.029,4.073,-0.33,-0.072,-0.162,-0.072,-0.162,-0.23,-0.121,-0.259,-0.285,-0.23,-0.198,-0.23,-0.072,-0.198,-0.23,-0.285,-0.35,-0.259,-0.072,-0.259,POSITIVE
A0A6B9WIH5,6.86,3.18,5.47,4.79,4.92,5.81,2.04,4.83,6.12,9.41,2.37,5.43,3.86,3.37,3.44,6.43,7.43,8.43,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.039,0.107,0.103,0.116,0.781,0.524,0.209,0.333,0.139,0.056,0.384,0.346,0.27,0.445,0.29,0.268,0.223,0.529,0.471,-0.042,-0.5,-0.18,-0.438,0.002,4.191,-0.265,-0.158,-0.229,-0.21,-0.214,-0.238,-0.115,-0.211,-0.247,-0.321,-0.128,-0.228,-0.181,-0.165,-0.167,-0.254,-0.279,-0.301,-0.072,-0.208,POSITIVE
A0A8A5G6W3,4.73,2.55,4.73,4,5.09,4.73,2.91,7.64,4,10.91,1.45,2.91,4.73,3.27,2.18,7.64,8.73,9.45,2.18,6.18,0.091,0.087,0.822,0.284,0.509,0.422,0.047,0.135,0.087,0.091,0.822,0.575,0.167,0.331,0.164,0.04,0.335,0.418,0.247,0.473,0.236,0.316,0.196,0.502,0.498,-0.519,-0.53,-0.22,-0.43,0.037,4.138,-0.208,-0.135,-0.208,-0.186,-0.219,-0.208,-0.148,-0.283,-0.186,-0.349,-0.089,-0.148,-0.208,-0.161,-0.12,-0.283,-0.307,-0.322,-0.12,-0.248,POSITIVE
A0A8F1CWX3,5.74,4.92,3.28,4.92,7.38,3.28,3.28,5.74,1.64,13.11,0.82,1.64,5.74,3.28,6.56,6.56,9.02,9.02,0,4.1,0.115,0.082,0.803,0.279,0.508,0.426,0.057,0.115,0.082,0.115,0.803,0.615,0.189,0.303,0.156,0.057,0.393,0.402,0.205,0.492,0.205,0.295,0.205,0.492,0.508,-0.465,-0.537,-0.258,-0.381,0.068,4.027,-0.237,-0.214,-0.162,-0.214,-0.277,-0.162,-0.162,-0.237,-0.097,-0.384,-0.057,-0.097,-0.237,-0.162,-0.258,-0.258,-0.313,-0.313,0,-0.189,POSITIVE
A0A7H1C9B7,8.83,0,5.73,2.86,3.1,10.26,0.95,3.34,7.4,6.44,1.67,5.25,6.68,8.35,7.16,8.59,7.64,1.91,1.19,2.63,0.155,0.086,0.759,0.272,0.434,0.375,0.067,0.069,0.086,0.155,0.759,0.408,0.274,0.434,0.162,0.017,0.437,0.198,0.365,0.351,0.363,0.282,0.277,0.549,0.451,0.699,-0.435,-0.288,-0.39,0.224,4.011,-0.309,0,-0.236,-0.147,-0.155,-0.337,-0.064,-0.164,-0.278,-0.255,-0.099,-0.223,-0.261,-0.299,-0.272,-0.304,-0.283,-0.109,-0.076,-0.138,POSITIVE
A0A3G5BJ03,5.26,3.95,1.32,3.95,5.26,2.63,0,3.95,2.63,18.42,1.32,6.58,2.63,0,2.63,9.21,6.58,18.42,0,5.26,0.053,0.053,0.895,0.25,0.579,0.513,0.026,0.105,0.053,0.053,0.895,0.658,0.145,0.237,0.158,0.053,0.342,0.434,0.224,0.579,0.171,0.25,0.211,0.566,0.434,-0.958,-0.878,-0.341,-0.63,-0.022,3.672,-0.224,-0.184,-0.082,-0.184,-0.224,-0.138,0,-0.184,-0.138,-0.45,-0.082,-0.258,-0.138,0,-0.138,-0.317,-0.258,-0.45,0,-0.224,POSITIVE
A0A8A7QVB0,7.01,3.13,4.79,5.43,4.77,5.99,1.7,4.9,6.27,9.83,2.38,5.29,3.72,3.43,2.97,6.67,7.81,8.42,1.04,4.43,0.109,0.102,0.788,0.255,0.481,0.399,0.037,0.102,0.102,0.109,0.788,0.53,0.2,0.341,0.145,0.055,0.39,0.345,0.265,0.451,0.289,0.267,0.228,0.528,0.472,-0.063,-0.564,-0.199,-0.479,0.008,4.173,-0.269,-0.157,-0.21,-0.228,-0.209,-0.243,-0.1,-0.213,-0.25,-0.329,-0.128,-0.224,-0.177,-0.167,-0.151,-0.261,-0.287,-0.301,-0.069,-0.199,POSITIVE
A0A7R6WEK9,1.64,0,6.56,8.2,4.92,0,3.28,13.11,4.92,11.48,8.2,3.28,1.64,4.92,3.28,8.2,6.56,6.56,0,3.28,0.115,0.148,0.738,0.23,0.475,0.344,0.016,0.082,0.148,0.115,0.738,0.541,0.164,0.344,0.148,0.082,0.459,0.344,0.197,0.377,0.295,0.311,0.098,0.344,0.656,-0.463,-0.306,-0.479,-0.51,0.074,3.886,-0.097,0,-0.258,-0.296,-0.214,0,-0.162,-0.384,-0.214,-0.358,-0.296,-0.162,-0.097,-0.214,-0.162,-0.296,-0.258,-0.258,0,-0.162,POSITIVE
A0A8B1JS15,6.99,3.13,4.79,5.43,4.72,5.99,1.7,4.93,6.29,9.9,2.36,5.27,3.72,3.43,2.97,6.67,7.81,8.42,1.04,4.43,0.11,0.102,0.788,0.255,0.481,0.4,0.037,0.102,0.102,0.11,0.788,0.53,0.2,0.341,0.145,0.055,0.391,0.345,0.264,0.451,0.289,0.267,0.228,0.528,0.472,-0.065,-0.566,-0.202,-0.479,0.009,4.172,-0.268,-0.157,-0.21,-0.228,-0.208,-0.243,-0.1,-0.214,-0.251,-0.33,-0.128,-0.224,-0.177,-0.167,-0.151,-0.261,-0.287,-0.301,-0.069,-0.199,POSITIVE
A0A859GTM8,4.73,2.55,4.73,4,5.09,5.09,3.64,7.64,4,10.91,1.45,2.91,4.36,2.91,2.18,8,8.73,9.09,2.18,5.82,0.098,0.087,0.815,0.28,0.505,0.418,0.044,0.131,0.087,0.098,0.815,0.567,0.171,0.335,0.167,0.04,0.338,0.411,0.251,0.473,0.229,0.32,0.204,0.502,0.498,-0.467,-0.536,-0.21,-0.404,0.034,4.141,-0.208,-0.135,-0.208,-0.186,-0.219,-0.219,-0.174,-0.283,-0.186,-0.349,-0.089,-0.148,-0.197,-0.148,-0.12,-0.292,-0.307,-0.314,-0.12,-0.239,POSITIVE
A0A7T8H9Y9,6.21,3.22,4.79,3.77,6.05,6.52,1.34,6.05,4.79,8.41,1.1,6.91,4.48,4.87,3.38,7.78,7.62,7.62,0.86,4.24,0.095,0.086,0.819,0.277,0.473,0.393,0.045,0.112,0.086,0.095,0.819,0.516,0.209,0.353,0.154,0.043,0.339,0.357,0.305,0.449,0.296,0.266,0.237,0.551,0.449,-0.014,-0.518,-0.131,-0.522,0,4.158,-0.249,-0.16,-0.21,-0.178,-0.245,-0.257,-0.083,-0.245,-0.21,-0.3,-0.072,-0.266,-0.201,-0.212,-0.165,-0.287,-0.283,-0.283,-0.059,-0.193,POSITIVE
A0A8F1CXL9,6.64,2.58,4.8,1.85,4.43,5.17,2.58,7.38,2.21,12.92,1.48,3.32,3.32,3.32,3.32,8.12,10.33,7.75,1.85,6.64,0.081,0.066,0.852,0.31,0.509,0.432,0.033,0.129,0.066,0.081,0.852,0.587,0.148,0.336,0.185,0.041,0.343,0.41,0.247,0.487,0.188,0.325,0.225,0.52,0.48,-0.52,-0.62,-0.239,-0.447,0.038,4.076,-0.26,-0.136,-0.21,-0.106,-0.199,-0.221,-0.136,-0.278,-0.122,-0.381,-0.09,-0.163,-0.163,-0.163,-0.163,-0.294,-0.338,-0.286,-0.106,-0.26,POSITIVE
A0A886NG00,6.86,3.18,5.48,4.79,4.92,5.81,2.04,4.85,6.12,9.41,2.37,5.41,3.86,3.37,3.44,6.43,7.41,8.43,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.039,0.107,0.103,0.116,0.781,0.524,0.209,0.333,0.138,0.056,0.384,0.346,0.27,0.446,0.29,0.268,0.223,0.529,0.471,-0.043,-0.5,-0.18,-0.439,0.002,4.191,-0.265,-0.158,-0.23,-0.21,-0.214,-0.238,-0.115,-0.212,-0.247,-0.321,-0.128,-0.228,-0.181,-0.165,-0.167,-0.254,-0.278,-0.301,-0.072,-0.208,POSITIVE
A0A8B6RNA5,4.44,6.67,0,8.89,2.22,6.67,2.22,6.67,4.44,15.56,2.22,2.22,4.44,2.22,2.22,6.67,11.11,4.44,0,6.67,0.089,0.089,0.822,0.333,0.467,0.422,0.044,0.089,0.089,0.089,0.822,0.578,0.156,0.356,0.178,0.089,0.422,0.378,0.2,0.467,0.222,0.333,0.244,0.467,0.533,-0.376,-0.812,-0.221,-0.549,-0.073,3.913,-0.2,-0.26,0,-0.31,-0.122,-0.26,-0.122,-0.26,-0.2,-0.418,-0.122,-0.122,-0.2,-0.122,-0.122,-0.26,-0.352,-0.2,0,-0.26,POSITIVE
A0A8A4IG57,6.85,3.2,5.5,4.79,4.93,5.81,2.04,4.85,6.12,9.41,2.37,5.4,3.85,3.37,3.42,6.44,7.41,8.43,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.108,0.103,0.116,0.781,0.524,0.208,0.333,0.139,0.056,0.384,0.346,0.27,0.446,0.29,0.268,0.223,0.529,0.471,-0.043,-0.5,-0.179,-0.439,0.002,4.191,-0.265,-0.159,-0.23,-0.21,-0.214,-0.238,-0.115,-0.212,-0.247,-0.321,-0.128,-0.227,-0.181,-0.165,-0.167,-0.255,-0.278,-0.301,-0.072,-0.208,POSITIVE
A0A8B1JB34,6.85,3.18,5.47,4.79,4.92,5.81,2.04,4.83,6.12,9.46,2.37,5.43,3.83,3.37,3.44,6.41,7.44,8.43,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.107,0.103,0.116,0.781,0.524,0.209,0.333,0.139,0.056,0.384,0.346,0.269,0.446,0.29,0.268,0.223,0.528,0.472,-0.044,-0.5,-0.181,-0.439,0.001,4.191,-0.265,-0.158,-0.229,-0.21,-0.214,-0.238,-0.115,-0.211,-0.247,-0.322,-0.128,-0.228,-0.18,-0.165,-0.167,-0.254,-0.279,-0.301,-0.072,-0.208,POSITIVE
A0A7M2Y5S9,4.73,2.55,4.73,4,5.45,5.09,3.27,7.64,4,10.55,1.45,2.91,4.36,2.91,2.18,8,8.73,9.09,2.18,6.18,0.095,0.087,0.818,0.284,0.505,0.415,0.044,0.138,0.087,0.095,0.818,0.567,0.167,0.335,0.167,0.04,0.331,0.418,0.251,0.473,0.229,0.32,0.204,0.502,0.498,-0.485,-0.523,-0.2,-0.414,0.023,4.142,-0.208,-0.135,-0.208,-0.186,-0.229,-0.219,-0.161,-0.283,-0.186,-0.342,-0.089,-0.148,-0.197,-0.148,-0.12,-0.292,-0.307,-0.314,-0.12,-0.248,POSITIVE
A0A6G7K2G6,6.85,3.18,5.48,4.79,4.93,5.81,2.04,4.83,6.12,9.4,2.37,5.41,3.86,3.37,3.44,6.43,7.43,8.44,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.039,0.108,0.103,0.116,0.781,0.524,0.209,0.333,0.139,0.056,0.384,0.346,0.27,0.445,0.29,0.268,0.223,0.529,0.471,-0.042,-0.5,-0.18,-0.439,0.002,4.191,-0.265,-0.158,-0.23,-0.21,-0.214,-0.238,-0.115,-0.211,-0.247,-0.321,-0.128,-0.228,-0.181,-0.165,-0.167,-0.254,-0.279,-0.301,-0.072,-0.208,POSITIVE
A0A8B6RV20,6.99,3.13,4.79,5.43,4.72,5.99,1.68,4.88,6.27,9.88,2.38,5.29,3.72,3.43,2.97,6.67,7.83,8.44,1.04,4.45,0.109,0.102,0.789,0.255,0.481,0.399,0.037,0.102,0.102,0.109,0.789,0.53,0.199,0.341,0.145,0.055,0.39,0.345,0.265,0.451,0.289,0.267,0.228,0.529,0.471,-0.064,-0.565,-0.2,-0.48,0.008,4.171,-0.268,-0.157,-0.21,-0.228,-0.208,-0.243,-0.099,-0.213,-0.25,-0.33,-0.128,-0.224,-0.177,-0.167,-0.151,-0.261,-0.288,-0.301,-0.069,-0.2,POSITIVE
A0A8B1JTE4,6.85,3.18,5.48,4.79,4.93,5.79,2.04,4.82,6.12,9.43,2.37,5.41,3.85,3.37,3.45,6.41,7.43,8.46,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.108,0.103,0.116,0.781,0.524,0.209,0.333,0.138,0.056,0.384,0.346,0.269,0.446,0.29,0.268,0.222,0.529,0.471,-0.043,-0.499,-0.181,-0.438,0.001,4.191,-0.265,-0.158,-0.23,-0.21,-0.214,-0.238,-0.115,-0.211,-0.247,-0.321,-0.128,-0.228,-0.181,-0.165,-0.168,-0.254,-0.279,-0.301,-0.072,-0.208,POSITIVE
A0A8B6RI67,6.86,3.18,5.48,4.79,4.92,5.81,2.04,4.83,6.12,9.44,2.37,5.41,3.83,3.37,3.44,6.43,7.43,8.43,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.107,0.103,0.116,0.781,0.524,0.208,0.333,0.139,0.056,0.384,0.346,0.27,0.446,0.29,0.268,0.223,0.529,0.471,-0.043,-0.5,-0.181,-0.439,0.002,4.191,-0.265,-0.158,-0.23,-0.21,-0.214,-0.238,-0.115,-0.211,-0.247,-0.321,-0.128,-0.228,-0.18,-0.165,-0.167,-0.254,-0.279,-0.301,-0.072,-0.208,POSITIVE
A0A8B6RC79,4.55,0,0,9.09,9.09,4.55,0,4.55,0,18.18,4.55,4.55,0,0,0,13.64,9.09,13.64,0,4.55,0,0.091,0.909,0.273,0.591,0.455,0,0.136,0.091,0,0.909,0.636,0.045,0.364,0.227,0.045,0.364,0.409,0.227,0.545,0.136,0.318,0.227,0.5,0.5,-1.017,-0.935,-0.285,-0.84,-0.005,3.391,-0.203,0,0,-0.314,-0.314,-0.203,0,-0.203,0,-0.447,-0.203,-0.203,0,0,0,-0.392,-0.314,-0.392,0,-0.203,POSITIVE
A0A7U3EBM5,6.88,3.21,5.51,4.78,4.93,5.81,2.04,4.86,6.12,9.4,2.36,5.4,3.83,3.35,3.44,6.4,7.42,8.41,1.1,4.74,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.108,0.103,0.116,0.781,0.524,0.208,0.333,0.138,0.056,0.384,0.347,0.27,0.446,0.29,0.268,0.223,0.529,0.471,-0.043,-0.5,-0.178,-0.439,0.001,4.191,-0.266,-0.159,-0.231,-0.21,-0.214,-0.239,-0.114,-0.212,-0.247,-0.321,-0.128,-0.227,-0.18,-0.164,-0.167,-0.254,-0.278,-0.3,-0.072,-0.208,POSITIVE
A0A8F1CWH9,2.68,1.34,3.36,0.67,5.37,4.7,2.68,5.37,3.36,8.72,1.34,6.04,5.37,4.03,2.01,10.07,14.77,10.74,2.01,5.37,0.081,0.04,0.879,0.356,0.463,0.376,0.054,0.128,0.04,0.081,0.879,0.577,0.195,0.376,0.248,0.027,0.255,0.45,0.295,0.409,0.228,0.396,0.188,0.591,0.409,-0.35,-0.585,-0.235,-0.462,-0.013,3.989,-0.14,-0.083,-0.164,-0.048,-0.227,-0.207,-0.14,-0.227,-0.164,-0.307,-0.083,-0.245,-0.227,-0.187,-0.113,-0.333,-0.407,-0.346,-0.113,-0.227,POSITIVE
P0DTC7,7.44,4.96,1.65,6.61,8.26,3.31,2.48,6.61,5.79,12.4,0.83,1.65,4.96,4.13,4.13,5.79,8.26,6.61,0,4.13,0.124,0.083,0.793,0.273,0.504,0.413,0.05,0.124,0.083,0.124,0.793,0.603,0.19,0.298,0.14,0.058,0.438,0.388,0.174,0.496,0.248,0.264,0.215,0.446,0.554,-0.458,-0.526,-0.285,-0.385,0.067,4.047,-0.279,-0.215,-0.098,-0.259,-0.297,-0.163,-0.132,-0.259,-0.238,-0.373,-0.057,-0.098,-0.215,-0.19,-0.19,-0.238,-0.297,-0.259,0,-0.19,POSITIVE
A0A8B6R8V1,7.01,3.13,4.79,5.4,4.72,6.02,1.7,4.88,6.27,9.88,2.38,5.29,3.72,3.43,2.97,6.67,7.83,8.42,1.04,4.43,0.109,0.102,0.789,0.255,0.481,0.399,0.037,0.102,0.102,0.109,0.789,0.53,0.2,0.341,0.145,0.055,0.39,0.345,0.265,0.451,0.289,0.267,0.228,0.529,0.471,-0.063,-0.566,-0.2,-0.479,0.009,4.172,-0.269,-0.157,-0.21,-0.227,-0.208,-0.244,-0.1,-0.213,-0.25,-0.33,-0.128,-0.224,-0.177,-0.167,-0.151,-0.261,-0.288,-0.301,-0.069,-0.199,POSITIVE
A0A8B1K327,4.44,6.67,0,8.89,2.22,6.67,2.22,6.67,4.44,15.56,2.22,2.22,4.44,2.22,2.22,6.67,11.11,4.44,0,6.67,0.089,0.089,0.822,0.333,0.467,0.422,0.044,0.089,0.089,0.089,0.822,0.578,0.156,0.356,0.178,0.089,0.422,0.378,0.2,0.467,0.222,0.333,0.244,0.467,0.533,-0.376,-0.812,-0.221,-0.549,-0.073,3.913,-0.2,-0.26,0,-0.31,-0.122,-0.26,-0.122,-0.26,-0.2,-0.418,-0.122,-0.122,-0.2,-0.122,-0.122,-0.26,-0.352,-0.2,0,-0.26,POSITIVE
Q6S8D4,5.26,3.95,1.32,3.95,5.26,2.63,0,3.95,2.63,18.42,1.32,6.58,2.63,0,2.63,9.21,6.58,18.42,0,5.26,0.053,0.053,0.895,0.25,0.579,0.513,0.026,0.105,0.053,0.053,0.895,0.658,0.145,0.237,0.158,0.053,0.342,0.434,0.224,0.579,0.171,0.25,0.211,0.566,0.434,-0.958,-0.878,-0.341,-0.63,-0.022,3.672,-0.224,-0.184,-0.082,-0.184,-0.224,-0.138,0,-0.184,-0.138,-0.45,-0.082,-0.258,-0.138,0,-0.138,-0.317,-0.258,-0.45,0,-0.224,POSITIVE
A0A8B1K3Z5,6.86,3.18,5.48,4.79,4.92,5.81,2.03,4.85,6.12,9.44,2.37,5.41,3.82,3.37,3.44,6.44,7.41,8.43,1.1,4.74,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.108,0.103,0.116,0.781,0.524,0.208,0.333,0.139,0.056,0.384,0.346,0.27,0.446,0.29,0.268,0.223,0.528,0.472,-0.043,-0.5,-0.181,-0.44,0.001,4.19,-0.265,-0.158,-0.23,-0.21,-0.214,-0.238,-0.114,-0.212,-0.247,-0.321,-0.128,-0.228,-0.18,-0.165,-0.167,-0.255,-0.278,-0.301,-0.072,-0.208,POSITIVE
Q5DIC2,5.26,3.95,1.32,3.95,5.26,2.63,0,3.95,2.63,18.42,1.32,6.58,2.63,0,2.63,9.21,6.58,18.42,0,5.26,0.053,0.053,0.895,0.25,0.579,0.513,0.026,0.105,0.053,0.053,0.895,0.658,0.145,0.237,0.158,0.053,0.342,0.434,0.224,0.579,0.171,0.25,0.211,0.566,0.434,-0.958,-0.878,-0.341,-0.63,-0.022,3.672,-0.224,-0.184,-0.082,-0.184,-0.224,-0.138,0,-0.184,-0.138,-0.45,-0.082,-0.258,-0.138,0,-0.138,-0.317,-0.258,-0.45,0,-0.224,POSITIVE
A0A7T8K771,8.83,0,5.73,2.86,3.1,10.26,0.95,3.82,7.4,6.44,1.67,5.25,6.68,8.35,6.92,8.59,7.4,1.91,1.19,2.63,0.153,0.086,0.761,0.27,0.439,0.379,0.067,0.069,0.086,0.153,0.761,0.411,0.272,0.432,0.16,0.017,0.434,0.2,0.365,0.356,0.363,0.279,0.277,0.547,0.453,0.67,-0.444,-0.285,-0.396,0.226,4.015,-0.309,0,-0.236,-0.147,-0.155,-0.337,-0.064,-0.18,-0.278,-0.255,-0.099,-0.223,-0.261,-0.299,-0.267,-0.304,-0.278,-0.109,-0.076,-0.138,POSITIVE
A0A8A3CCI5,4.73,2.55,4.36,4,5.09,5.09,3.27,7.64,4,10.91,1.45,2.91,4.36,2.91,2.18,8,8.73,9.09,2.18,6.55,0.095,0.084,0.822,0.287,0.505,0.418,0.044,0.138,0.084,0.095,0.822,0.567,0.167,0.331,0.167,0.04,0.335,0.418,0.247,0.473,0.225,0.324,0.204,0.498,0.502,-0.509,-0.529,-0.215,-0.409,0.02,4.137,-0.208,-0.135,-0.197,-0.186,-0.219,-0.219,-0.161,-0.283,-0.186,-0.349,-0.089,-0.148,-0.197,-0.148,-0.12,-0.292,-0.307,-0.314,-0.12,-0.257,POSITIVE
A0A8B1JQS5,6.86,3.18,5.47,4.79,4.92,5.82,2.04,4.85,6.1,9.44,2.37,5.43,3.85,3.37,3.44,6.41,7.41,8.43,1.1,4.72,0.116,0.103,0.782,0.251,0.476,0.392,0.038,0.107,0.103,0.116,0.782,0.524,0.209,0.333,0.138,0.056,0.384,0.346,0.27,0.446,0.29,0.268,0.223,0.529,0.471,-0.044,-0.501,-0.18,-0.439,0.001,4.191,-0.265,-0.158,-0.229,-0.21,-0.214,-0.239,-0.115,-0.212,-0.246,-0.321,-0.128,-0.228,-0.181,-0.165,-0.167,-0.254,-0.278,-0.301,-0.072,-0.208,POSITIVE
A0A8B1JK09,7.01,3.13,4.79,5.43,4.77,5.99,1.7,4.95,6.27,9.85,2.36,5.29,3.7,3.43,2.97,6.67,7.79,8.42,1.04,4.43,0.109,0.102,0.788,0.254,0.481,0.399,0.037,0.102,0.102,0.109,0.788,0.53,0.199,0.341,0.145,0.055,0.39,0.345,0.264,0.452,0.289,0.267,0.228,0.528,0.472,-0.065,-0.564,-0.2,-0.479,0.008,4.172,-0.269,-0.157,-0.21,-0.228,-0.209,-0.243,-0.1,-0.215,-0.25,-0.329,-0.128,-0.224,-0.176,-0.167,-0.151,-0.261,-0.287,-0.301,-0.069,-0.199,POSITIVE
A0A8B1LB08,6.86,3.2,5.47,4.79,4.92,5.81,2.04,4.85,6.12,9.43,2.37,5.41,3.83,3.37,3.42,6.43,7.41,8.44,1.1,4.74,0.116,0.103,0.782,0.251,0.476,0.392,0.038,0.108,0.103,0.116,0.782,0.524,0.208,0.333,0.138,0.056,0.384,0.347,0.269,0.446,0.29,0.268,0.223,0.529,0.471,-0.044,-0.501,-0.18,-0.439,0.001,4.191,-0.265,-0.159,-0.229,-0.21,-0.214,-0.238,-0.115,-0.212,-0.247,-0.321,-0.128,-0.228,-0.18,-0.165,-0.167,-0.254,-0.278,-0.301,-0.072,-0.208,POSITIVE
A0A899JB20,4.73,2.55,4.73,4,5.45,4.73,3.27,7.64,4,10.55,1.45,2.91,4.36,2.91,2.18,8,8.73,9.45,2.18,6.18,0.095,0.087,0.818,0.284,0.505,0.415,0.044,0.138,0.087,0.095,0.818,0.571,0.167,0.331,0.167,0.04,0.331,0.422,0.247,0.473,0.229,0.32,0.2,0.502,0.498,-0.502,-0.518,-0.207,-0.414,0.024,4.139,-0.208,-0.135,-0.208,-0.186,-0.229,-0.208,-0.161,-0.283,-0.186,-0.342,-0.089,-0.148,-0.197,-0.148,-0.12,-0.292,-0.307,-0.322,-0.12,-0.248,POSITIVE
A0A7U3HME0,8.22,1.83,2.28,3.2,5.02,6.39,2.28,9.13,2.74,15.98,1.37,5.48,2.28,1.83,6.39,6.85,5.94,5.48,3.2,4.11,0.114,0.055,0.831,0.205,0.571,0.475,0.023,0.123,0.055,0.114,0.831,0.584,0.192,0.265,0.128,0.032,0.42,0.347,0.233,0.553,0.178,0.228,0.233,0.447,0.553,-0.606,-0.511,-0.403,-0.283,0.036,4.043,-0.296,-0.105,-0.124,-0.159,-0.217,-0.254,-0.124,-0.315,-0.142,-0.423,-0.085,-0.23,-0.124,-0.105,-0.254,-0.265,-0.242,-0.23,-0.159,-0.189,POSITIVE
